gt_id,frame_idx,speed_kmh
2,190,55.99863409996028
2,191,59.94695305824275
2,192,55.23881256580348
2,193,52.528472542762714
2,194,57.34234035015101
2,195,43.910309672355616
2,196,49.090438485145526
2,197,42.53323674201962
2,198,42.1984568238258
2,199,41.437776982784236
2,200,43.50165367126461
2,201,31.439496874809937
2,202,37.62648403644475
2,203,32.027219831944194
2,204,30.209797918795843
2,205,31.86390012502738
2,206,32.05505847930834
2,207,31.840395927429878
2,208,26.42941743135391
2,209,31.423360705376343
2,210,20.60391023755026
2,211,38.94502848386848
2,212,17.96398356556851
2,213,25.075111091137465
2,214,16.58206388354263
6,405,79.32503342628648
6,406,75.07371068000954
6,407,77.0861291885324
6,408,70.53430259227903
6,409,67.70445942878868
6,410,65.00336766243119
6,411,62.354133725162114
6,412,50.79762160778154
6,413,49.465529322625265
6,414,46.34424805641273
6,415,46.510502099987704
6,416,46.59165501594643
6,417,38.31208884716116
6,418,38.100111186505174
6,419,32.14350968599103
6,420,36.39593213796693
6,421,31.537676453591065
7,447,71.30625844001922
7,448,83.44092607497606
7,449,116.54906272888432
7,450,59.675701260567976
7,451,78.41787278652359
7,452,71.71670079231416
7,453,70.31415224074843
7,454,63.824627995492385
7,455,59.99288856983313
7,456,53.52422654628867
7,457,49.408913254734514
7,458,49.37147498130904
7,459,41.27098649740307
7,460,43.12307327985856
7,461,42.50570923089694
7,462,40.038747489453215
7,463,31.835975646973335
8,462,94.06912565231524
8,463,82.04020142555412
8,464,90.53009033203318
8,465,77.5648498535104
8,466,72.21076369285737
8,467,76.03341579437418
8,468,61.77434742450846
8,469,53.88465642928713
8,470,57.33222842216614
8,471,54.72773909568903
8,472,49.289565682412245
8,473,40.988930761811346
8,474,37.743286192417955
8,475,37.26343631744464
9,529,80.76081454754049
9,530,91.5327429771443
9,531,83.35683345794855
9,532,83.43656480311785
9,533,72.90428102016605
9,534,66.24612092971942
9,535,59.64238286018498
9,536,64.2240089178042
9,537,51.728562712670474
9,538,54.978488087655286
9,539,47.1032327413569
9,540,40.50937592982972
9,541,43.438737094403244
9,542,32.24148273468086
10,570,78.0475670099275
10,571,80.04715383052996
10,572,108.93447518348927
10,573,67.4309760332062
10,574,77.70541369915175
10,575,68.60417962074426
10,576,65.61239540577074
10,577,60.55293917656074
